from,to,distance
315901,314379,3.082
315901,315903,3.082
314241,313349,3.383
314241,315910,3.383
315908,313349,3.383
315908,315910,3.383
318550,313551,3.753
318550,315900,3.753
318551,313551,3.753
318551,315900,3.753
313344,313339,3.375
313344,315913,3.375
315911,313339,3.375
315911,315913,3.375
316271,318550,1.341
316271,318551,1.341
316280,318550,1.341
316280,318551,1.341
313339,316279,1.329
313339,316281,1.329
315913,316279,1.329
315913,316281,1.329
313055,316271,0.496
313055,316280,0.496
316279,313082,0.486
316279,315914,0.486
316281,313082,0.486
316281,315914,0.486
313082,313080,0.231
313082,315915,0.231
315914,313080,0.231
315914,315915,0.231
313080,313037,7.58
315915,313037,7.58
313037,313035,0.257
314042,314036,0.181
314042,315895,0.181
315894,314036,0.181
315894,315895,0.181
314036,313055,5.195
315895,313055,5.195
313658,314042,3.862
313658,315894,3.862
313035,313010,2.027
313010,312188,2.308
312188,313005,0.478
312188,318742,0.478
314668,313658,3.695
313005,313003,0.152
313005,318744,0.152
318742,313003,0.152
318742,318744,0.152
314711,314668,0.181
314712,314668,0.181
313003,318218,1.047
318744,318218,1.047
313852,314711,1.008
313852,314712,1.008
318218,313846,0.035
318528,313000,0.202
312133,317814,0.887
317815,315060,0.883
317814,313159,0.861
314652,317815,0.859
313159,314876,4.522
314877,314652,4.511
314876,314886,0.263
314886,314899,1.412
314899,314909,0.47
318599,314877,2.155
314909,314923,2.119
318443,318599,2.122
314923,314936,1.036
318626,318443,1.042
314936,314968,1.964
318680,318626,1.971
314955,314982,0.551
314982,315017,0.38
318674,318484,0.675
315017,318632,1.363
315030,318674,1.744
318632,315054,1.318
315042,315030,1.25
315054,312343,3.579
312326,314994,3.004
315054,315969,4.115
315938,315006,3.155
315938,312343,4.099
315938,317885,6.996
317884,315804,1.552
315804,312343,5.162
315804,315006,4.28
315804,315969,5.875
317884,318383,10.194
318366,318354,0.164
318383,318451,0.835
313772,318366,0.925
318354,318142,1.932
318142,318126,0.63
313184,318586,0.233
318593,312946,0.416
316114,313184,0.232
312944,316114,0.151
312946,312942,0.606
316118,312944,0.445
312940,316118,1.15
312942,312900,1.346
312898,312940,1.025
312900,316129,0.831
312896,312898,0.525
316129,314598,0.531
312895,312896,0.755
314598,313204,1.656
312807,312895,0.749
312804,312807,0.582
313204,313197,0.429
312782,312804,0.554
313197,318540,0.634
312694,312745,0.617
312745,313951,0.95
313951,314121,0.502
312857,312856,0.508
314121,312865,1.131
312865,314147,0.496
312771,312757,0.139
312757,312857,1.477
312689,312694,0.747
312220,312103,0.301
312236,312220,2.057
314371,314559,0.271
314559,313852,5.255
313846,318528,2.512
312264,318493,0.994
314147,312858,0.543
312858,312782,0.789
318540,314157,0.675
314157,312771,0.565
312856,312854,1.609
312856,315860,1.609
312854,312852,1.599
312854,315861,1.599
312854,316429,1.599
315860,312852,1.599
315860,315861,1.599
315860,316429,1.599
313956,312689,0.756
315879,312689,0.756
312098,314371,6.036
316364,314371,6.036
312103,312010,2.757
314968,316073,2.986
314968,316074,2.986
316073,314955,1.218
316074,314955,1.218
318484,318680,4.066
318451,312139,4.676
312010,313772,4.274
312648,312651,0.182
312648,315842,0.182
315841,312651,0.182
315841,315842,0.182
312651,312233,1.44
312651,315836,1.44
315842,312233,1.44
315842,315836,1.44
314617,314681,1.185
314617,315835,1.185
315837,314681,1.185
315837,315835,1.185
312233,312382,0.628
312233,315838,0.628
315836,312382,0.628
315836,315838,0.628
314501,314617,0.714
314501,315837,0.714
315839,314617,0.714
315839,315837,0.714
312382,312386,0.549
312382,315822,0.549
315838,312386,0.549
315838,315822,0.549
317902,314501,1.278
317902,315839,1.278
317903,314501,1.278
317903,315839,1.278
312386,312388,0.651
312386,315843,0.651
315822,312388,0.651
315822,315843,0.651
312388,317909,0.445
312388,317910,0.445
315843,317909,0.445
315843,317910,0.445
312420,317902,0.448
312420,317903,0.448
315846,317902,0.448
315846,317903,0.448
317909,312421,0.589
317909,315847,0.589
317910,312421,0.589
317910,315847,0.589
317974,312420,0.588
317974,315846,0.588
317998,312420,0.588
317998,315846,0.588
312421,312422,0.888
312421,315849,0.888
315847,312422,0.888
315847,315849,0.888
312425,312513,0.753
312425,315852,0.753
315850,312513,0.753
315850,315852,0.753
312422,312425,0.379
312422,315850,0.379
315849,312425,0.379
315849,315850,0.379
318028,317974,2.099
318028,317998,2.099
318029,317974,2.099
318029,317998,2.099
312513,312514,0.895
312513,315853,0.895
315852,312514,0.895
315852,315853,0.895
312514,312520,0.319
312514,315873,0.319
315853,312520,0.319
315853,315873,0.319
312517,318028,0.96
312517,318029,0.96
315824,318028,0.96
315824,318029,0.96
312520,312523,0.813
312520,315854,0.813
315873,312523,0.813
315873,315854,0.813
318035,312517,1.13
318035,315824,1.13
318036,312517,1.13
318036,315824,1.13
312523,312525,0.587
312523,315855,0.587
315854,312525,0.587
315854,315855,0.587
312525,312527,0.346
312525,315856,0.346
315855,312527,0.346
315855,315856,0.346
313144,318035,0.45
313144,318036,0.45
315858,318035,0.45
315858,318036,0.45
312530,313144,1.233
312530,315858,1.233
315857,313144,1.233
315857,315858,1.233
317895,313144,1.233
317895,315858,1.233
317896,313144,1.233
317896,315858,1.233
312527,312562,1.873
312527,315825,1.873
315856,312562,1.873
315856,315825,1.873
312562,318565,0.348
312562,318566,0.348
315825,318565,0.348
315825,318566,0.348
312564,312530,1.343
312564,315857,1.343
312564,317895,1.343
312564,317896,1.343
315874,312530,1.343
315874,315857,1.343
315874,317895,1.343
315874,317896,1.343
312566,312564,0.941
312566,315874,0.941
315875,312564,0.941
315875,315874,0.941
318565,318575,0.942
318565,318576,0.942
318566,318575,0.942
318566,318576,0.942
318575,313956,0.847
318575,315879,0.847
318576,313956,0.847
318576,315879,0.847
312852,312566,0.73
312852,315875,0.73
315861,312566,0.73
315861,315875,0.73
316429,312566,0.73
316429,315875,0.73
314013,314025,0.252
314025,318076,1.965
318077,313979,2.371
318076,318053,2.881
318052,318077,2.875
318053,314548,5.355
314548,318135,0.586
314548,318736,0.586
318126,318052,5.382
318135,318383,2.183
318736,318383,2.183
