from,to,cost
16,139,1.389
755,233,0.526
143,336,1.6869999999999998
833,842,3.388
154,192,11.022
846,794,0.34
794,311,2.089
343,707,1.4480000000000002
544,689,2.093
382,562,0.289
882,788,0.336
385,236,0.828
74,605,0.882
502,567,0.419
678,641,0.27
31,347,0.032
347,107,3.5610000000000004
741,678,1.37
861,740,2.37
613,829,0.619
107,578,1.699
829,741,1.849
578,8,1.507
201,613,1.3769999999999998
395,208,1.21
8,409,1.571
522,201,1.476
682,522,0.272
409,609,0.304
497,682,1.685
609,169,1.429
169,758,1.011
50,759,2.373
758,479,0.321
479,53,4.415
53,684,2.344
644,50,5.004
684,296,19.137999999999998
696,644,2.406
437,334,2.0340000000000003
380,882,0.993
551,257,1.944
257,230,0.353
397,699,0.598
567,114,0.307
7,343,0.353
405,432,0.361
759,497,0.255
641,846,1.78
108,226,0.49700000000000005
132,646,1.406
518,98,7.349
432,31,2.279
111,148,0.564
103,158,2.004
38,46,5.834
281,864,2.6260000000000003
281,357,1.112
632,38,1.127
298,661,1.224
570,3,4.033
264,396,20.539
482,744,0.483
359,525,0.8340000000000001
4,547,1.16
447,37,0.925
415,534,1.182
869,374,0.884
690,645,0.805
645,756,0.966
756,238,0.48100000000000004
238,580,0.972
413,477,0.762
580,669,0.805
669,700,0.818
798,810,0.72
534,538,0.972
538,824,1.1320000000000001
719,865,1.568
824,543,1.827
404,719,1.13
700,353,0.38799999999999996
40,798,0.815
163,705,1.04
596,468,2.272
28,677,2.093
390,161,1.7619999999999998
461,629,3.822
629,390,5.981
629,262,1.591
115,183,1.607
10,340,9.636000000000001
340,696,19.063
842,143,1.548
790,386,0.581
840,834,3.0589999999999997
543,275,2.31
691,551,1.3940000000000001
707,544,0.49700000000000005
121,469,2.077
22,121,1.751
547,240,0.255
701,583,0.778
788,573,0.785
488,790,0.675
312,765,0.7390000000000001
517,867,0.469
52,835,5.28
337,540,1.227
159,38,2.662
159,337,0.336
510,159,0.8029999999999999
621,515,6.499
658,439,1.033
62,462,0.588
241,813,0.963
321,175,0.8079999999999999
802,321,0.48
813,814,2.34
492,802,0.48
141,358,1.7719999999999998
834,162,1.7069999999999999
139,1,4.561
661,182,1.028
318,73,1.202
293,30,0.768
54,465,0.96
730,285,0.9620000000000001
858,441,1.1640000000000001
328,685,0.223
324,453,0.693
470,520,0.6609999999999999
856,548,0.48100000000000004
180,859,0.789
276,180,0.48200000000000004
548,380,0.498
308,2,0.946
427,502,1.19
662,116,1.139
0,475,0.9620000000000001
866,293,0.9620000000000001
364,87,0.718
553,443,1.6480000000000001
665,553,0.96
342,806,0.935
248,753,0.6709999999999999
742,248,0.319
457,110,3.772
457,464,2.7430000000000003
839,189,1.287
803,457,0.644
428,803,2.086
189,539,2.09
275,839,0.802
622,258,2.025
399,622,0.321
539,444,1.77
806,399,0.997
753,665,0.927
832,342,0.66
469,828,1.288
828,715,1.449
715,281,4.011
715,624,1.7690000000000001
624,881,0.48100000000000004
46,478,2.41
478,410,2.411
410,692,0.48
692,243,4.9719999999999995
243,428,2.062
444,211,0.31
211,433,4.614
760,459,0.948
433,631,0.325
631,809,2.591
254,422,2.166
307,254,0.637
616,307,1.94
423,402,0.654
728,281,5.496
728,423,2.9
809,728,2.521
422,219,1.524
219,815,3.7539999999999996
881,46,2.414
402,616,1.3090000000000002
464,742,1.121
258,275,0.7070000000000001
142,426,4.148
740,666,0.51
418,741,2.841
769,43,0.341
43,119,0.61
119,234,0.7020000000000001
718,775,0.894
234,584,0.34
584,745,0.425
313,379,0.409
379,693,1.585
745,313,1.125
360,33,0.715
693,593,0.354
593,485,0.835
48,507,1.354
485,642,0.852
642,504,1.053
816,48,0.861
504,47,1.088
47,86,0.9590000000000001
145,557,1.4280000000000002
86,855,1.874
292,145,0.648
557,816,0.72
507,711,0.534
711,260,1.222
260,329,0.308
329,360,0.93
33,221,0.32
221,718,0.445
775,268,0.34299999999999997
268,817,1.15
817,418,0.518
666,769,1.413
416,484,0.513
484,617,0.9590000000000001
647,154,9.751
330,39,14.042
515,330,0.889
17,141,1.6059999999999999
338,737,0.799
774,595,1.4880000000000002
776,338,1.4880000000000002
595,625,1.604
442,776,1.608
625,524,0.986
13,39,1.212
13,74,0.546
370,42,0.883
537,13,0.8420000000000001
496,521,2.095
521,400,0.6409999999999999
463,671,0.22399999999999998
230,725,1.733
811,142,1.311
530,463,0.319
36,278,1.133
202,218,2.9589999999999996
531,694,2.01
77,416,0.61
689,382,0.079
588,612,1.492
857,167,0.41600000000000004
400,831,0.868
419,370,1.205
771,630,1.126
265,365,1.012
161,271,1.594
617,461,1.751
334,714,2.162
208,256,1.023
417,476,0.11199999999999999
256,639,1.036
256,199,4.669
878,687,0.77
583,503,2.217
503,633,0.804
92,878,2.213
434,305,1.413
69,316,0.639
722,434,0.6409999999999999
316,381,0.878
320,589,0.894
291,545,0.225
633,291,0.48200000000000004
217,92,0.8029999999999999
140,837,0.6709999999999999
362,294,0.733
150,558,0.483
868,213,0.608
677,523,0.531
246,64,0.375
227,653,2.674
366,403,0.289
284,384,1.804
384,698,2.903
529,366,1.7990000000000002
698,482,2.414
352,529,2.903
744,575,0.161
575,376,4.843
148,214,1.16
860,716,1.228
799,79,0.809
59,667,0.889
746,59,0.807
198,378,1.465
98,57,0.815
420,96,2.06
240,683,7.196
782,16,1.722
843,253,3.8089999999999997
353,415,1.9609999999999999
663,789,17.238
591,600,8.862
374,40,1.471
477,498,1.5959999999999999
710,843,0.785
396,352,6.295999999999999
